LEA_Code,MSC_Count,IFE_Count
00A,0.0,0.0
00B,0.0,0.0
010,1.0,0.4
01B,0.0,0.0
01C,0.0,0.0
01D,0.0,0.0
01F,0.0,0.0
020,0.0,0.0
030,0.0,0.0
040,0.0,0.0
050,0.0,0.0
060,1.0,2.0
06B,0.0,0.0
070,0.0,0.0
07A,0.0,0.0
080,0.0,0.0
090,0.0,0.0
09A,0.0,0.0
09B,0.0,0.0
100,0.0,0.0
10A,0.0,0.0
10B,0.0,0.0
110,0.0,0.0
111,0.0,0.0
11A,0.0,0.0
11B,0.0,0.0
11C,0.0,0.0
11D,0.0,0.0
11F,0.0,0.0
11K,0.0,0.0
120,0.0,0.0
12A,0.0,0.0
130,0.0,0.0
132,0.0,0.0
13A,0.0,0.0
13B,0.0,0.0
13C,0.0,0.0
13D,0.0,0.0
140,0.0,0.0
14B,0.0,0.0
150,0.0,0.0
160,0.0,0.0
16B,0.0,0.0
170,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
190,0.0,0.0
19A,0.0,0.0
19B,0.0,0.0
19C,0.0,0.0
200,0.0,0.0
210,0.0,0.0
220,0.0,0.0
230,0.0,0.0
23A,0.0,0.0
240,0.0,0.0
241,0.0,0.0
24B,0.0,0.0
24N,0.0,0.0
250,0.0,0.0
260,0.0,0.0
26B,0.0,0.0
26C,0.0,0.0
270,0.0,0.0
27A,0.0,0.0
280,0.0,0.0
290,0.0,0.0
291,0.0,0.0
292,0.0,0.0
29A,0.0,0.0
300,0.0,0.0
310,0.0,0.0
320,0.0,0.0
32A,0.0,0.0
32B,0.0,0.0
32C,0.0,0.0
32D,0.0,0.0
32H,0.0,0.0
32K,0.0,0.0
32L,0.0,0.0
32M,0.0,0.0
32N,0.0,0.0
32P,0.0,0.0
32Q,0.0,0.0
32R,0.0,0.0
32S,0.0,0.0
32T,0.0,0.0
330,0.0,0.0
33A,0.0,0.0
340,0.0,0.0
34B,0.0,0.0
34D,0.0,0.0
34F,0.0,0.0
34G,0.0,0.0
34H,0.0,0.0
34Z,0.0,0.0
350,0.0,0.0
35A,0.0,0.0
35B,0.0,0.0
35C,0.0,0.0
360,0.0,0.0
36B,0.0,0.0
36C,0.0,0.0
36F,0.0,0.0
36G,0.0,0.0
370,0.0,0.0
380,0.0,0.0
390,0.0,0.0
39A,0.0,0.0
39B,0.0,0.0
400,0.0,0.0
410,0.0,0.0
41B,0.0,0.0
41C,0.0,0.0
41D,0.0,0.0
41F,0.0,0.0
41G,0.0,0.0
41H,0.0,0.0
41J,0.0,0.0
41K,0.0,0.0
41L,0.0,0.0
41M,0.0,0.0
41N,0.0,0.0
41Q,0.0,0.0
41R,0.0,0.0
41Z,0.0,0.0
420,0.0,0.0
421,0.0,0.0
422,0.0,0.0
42A,0.0,0.0
42B,0.0,0.0
430,0.0,0.0
43C,0.0,0.0
43D,0.0,0.0
440,0.0,0.0
44A,0.0,0.0
450,0.0,0.0
45A,0.0,0.0
45B,0.0,0.0
460,0.0,0.0
470,0.0,0.0
480,0.0,0.0
490,0.0,0.0
491,0.0,0.0
49B,0.0,0.0
49D,0.0,0.0
49E,0.0,0.0
49F,0.0,0.0
49G,0.0,0.0
500,0.0,0.0
50A,0.0,0.0
50Z,0.0,0.0
510,0.0,0.0
51A,0.0,0.0
51B,0.0,0.0
51C,0.0,0.0
520,0.0,0.0
530,0.0,0.0
53B,0.0,0.0
53C,0.0,0.0
53D,0.0,0.0
540,0.0,0.0
54A,0.0,0.0
550,0.0,0.0
55A,0.0,0.0
55B,0.0,0.0
560,0.0,0.0
570,0.0,0.0
580,0.0,0.0
58B,0.0,0.0
590,0.0,0.0
600,0.0,0.0
60B,0.0,0.0
60D,0.0,0.0
60F,0.0,0.0
60G,0.0,0.0
60I,0.0,0.0
60J,0.0,0.0
60K,0.0,0.0
60L,0.0,0.0
60M,0.0,0.0
60N,0.0,0.0
60P,0.0,0.0
60Q,0.0,0.0
60S,0.0,0.0
60U,0.0,0.0
60Y,0.0,0.0
60Z,0.0,0.0
610,0.0,0.0
61J,0.0,0.0
61K,0.0,0.0
61L,0.0,0.0
61M,0.0,0.0
61N,0.0,0.0
61P,0.0,0.0
61Q,0.0,0.0
61R,0.0,0.0
61S,0.0,0.0
61T,0.0,0.0
61V,0.0,0.0
61W,0.0,0.0
61X,0.0,0.0
61Y,0.0,0.0
620,0.0,0.0
62A,0.0,0.0
62J,0.0,0.0
62K,0.0,0.0
62L,0.0,0.0
62P,0.0,0.0
630,0.0,0.0
63A,0.0,0.0
63B,0.0,0.0
63C,0.0,0.0
640,0.0,0.0
64A,0.0,0.0
650,0.0,0.0
65A,0.0,0.0
65B,0.0,0.0
65C,0.0,0.0
65D,0.0,0.0
65F,0.0,0.0
65G,0.0,0.0
65H,0.0,0.0
65Z,0.0,0.0
660,0.0,0.0
66A,0.0,0.0
670,0.0,0.0
67B,0.0,0.0
680,0.0,0.0
681,0.0,0.0
68A,0.0,0.0
68C,0.0,0.0
690,0.0,0.0
69A,0.0,0.0
700,0.0,0.0
70A,0.0,0.0
710,0.0,0.0
720,0.0,0.0
730,0.0,0.0
73A,0.0,0.0
73B,0.0,0.0
73Z,0.0,0.0
740,0.0,0.0
74C,0.0,0.0
74Z,0.0,0.0
750,0.0,0.0
760,0.0,0.0
761,0.0,0.0
76A,0.0,0.0
770,0.0,0.0
780,0.0,0.0
78A,0.0,0.0
78B,0.0,0.0
78C,0.0,0.0
790,0.0,0.0
79A,0.0,0.0
79Z,0.0,0.0
800,0.0,0.0
80C,0.0,0.0
810,0.0,0.0
81A,0.0,0.0
81B,0.0,0.0
820,0.0,0.0
821,0.0,0.0
830,0.0,0.0
840,0.0,0.0
84B,0.0,0.0
850,0.0,0.0
860,0.0,0.0
861,0.0,0.0
862,0.0,0.0
86T,0.0,0.0
86Z,0.0,0.0
870,0.0,0.0
87A,0.0,0.0
880,0.0,0.0
88A,0.0,0.0
890,0.0,0.0
900,0.0,0.0
90A,0.0,0.0
90B,0.0,0.0
90C,0.0,0.0
90D,0.0,0.0
90F,0.0,0.0
910,0.0,0.0
91A,0.0,0.0
91B,0.0,0.0
920,0.0,0.0
92B,0.0,0.0
92D,0.0,0.0
92E,0.0,0.0
92F,0.0,0.0
92G,0.0,0.0
92K,0.0,0.0
92M,0.0,0.0
92N,0.0,0.0
92P,0.0,0.0
92R,0.0,0.0
92S,0.0,0.0
92T,0.0,0.0
92U,0.0,0.0
92V,0.0,0.0
92W,0.0,0.0
92Y,0.0,0.0
930,0.0,0.0
93A,0.0,0.0
93J,0.0,0.0
93L,0.0,0.0
